"","x"
"501",2
"502",2
"503",5
"504",5
"505",1
"506",10
"507",10
"508",10
"509",8
"510",7
"511",9
"512",3
"513",1
"514",4
"515",5
"516",5
"517",4
"518",4
"519",0
"520",12
"521",4
"522",3
"523",1
"524",5
"525",10
"526",13
"527",0
"528",6
"529",3
"530",4
"531",11
"532",8
"533",9
"534",10
"535",5
"536",11
"537",1
"538",11
"539",9
"540",2
"541",4
"542",12
"543",5
"544",14
"545",4
"546",5
"547",11
"548",0
"549",13
"550",9
"551",1
"552",9
"553",0
"554",6
"555",3
"556",3
"557",9
"558",5
"559",6
"560",3
"561",6
"562",7
"563",6
"564",0
"565",7
"566",8
"567",5
"568",8
"569",3
"570",3
"571",5
"572",12
"573",9
"574",5
"575",2
"576",8
"577",3
"578",11
"579",1
"580",10
"581",3
"582",5
"583",9
"584",9
"585",4
"586",0
"587",8
"588",1
"589",12
"590",8
"591",6
"592",7
"593",1
"594",7
"595",12
"596",7
"597",3
"598",6
"599",3
"600",4
"601",9
"602",11
"603",8
"604",5
"605",2
"606",4
"607",9
"608",11
"609",13
"610",9
"611",12
"612",7
"613",4
"614",8
"615",10
"616",4
"617",10
"618",1
"619",3
"620",8
"621",6
"622",9
"623",2
"624",10
"625",10
"626",8
"627",0
"628",12
"629",11
"630",5
"631",7
"632",2
"633",8
"634",2
"635",3
"636",6
"637",5
"638",6
"639",8
"640",10
"641",4
"642",6
"643",7
"644",6
"645",10
"646",5
"647",12
"648",1
"649",3
"650",4
"651",10
"652",6
"653",7
"654",3
"655",4
"656",5
"657",2
"658",2
"659",12
"660",4
"661",3
"662",9
"663",6
"664",9
"665",4
"666",6
"667",3
"668",9
"669",5
"670",9
"671",5
"672",6
"673",7
"674",9
"675",4
"676",3
"677",13
"678",11
"679",4
"680",4
"681",6
"682",1
"683",4
"684",12
"685",2
"686",10
"687",11
"688",8
"689",3
"690",4
"691",12
"692",11
"693",7
"694",3
"695",9
"696",4
"697",6
"698",3
"699",6
"700",13
"701",7
"702",6
"703",11
"704",5
"705",11
"706",6
"707",4
"708",3
"709",3
"710",1
"711",6
"712",10
"713",8
"714",3
"715",6
"716",9
"717",10
"718",4
"719",6
"720",7
"721",10
"722",5
"723",2
"724",3
"725",8
"726",2
"727",12
"728",1
"729",1
"730",4
"731",1
"732",2
"733",1
"734",9
"735",9
"736",4
"737",7
"738",9
"739",9
"740",9
"741",3
"742",5
"743",2
"744",4
"745",10
"746",5
"747",6
"748",4
"749",10
"750",6
"751",6
"752",6
"753",7
"754",2
"755",3
"756",7
"757",7
"758",12
"759",3
"760",3
"761",3
"762",4
"763",12
"764",1
"765",11
"766",7
"767",2
"768",6
"769",1
"770",12
"771",2
"772",10
"773",8
"774",9
"775",7
"776",2
"777",5
"778",2
"779",3
"780",6
"781",2
"782",7
"783",11
"784",13
"785",8
"786",8
"787",9
"788",12
"789",14
"790",6
"791",4
"792",7
"793",12
"794",2
"795",11
"796",5
"797",7
"798",8
"799",3
"800",7
"801",9
"802",6
"803",9
"804",6
"805",4
"806",9
"807",2
"808",12
"809",6
"810",9
"811",11
"812",12
"813",3
"814",9
"815",5
"816",12
"817",4
"818",6
"819",0
"820",3
"821",9
"822",4
"823",11
"824",7
"825",1
"826",8
"827",11
"828",5
"829",9
"830",8
"831",7
"832",4
"833",4
"834",13
"835",8
"836",3
"837",5
"838",5
"839",6
"840",4
"841",8
"842",3
"843",8
"844",5
"845",7
"846",9
"847",4
"848",8
"849",6
"850",13
"851",7
"852",13
"853",13
"854",4
"855",5
"856",2
"857",11
"858",6
"859",1
"860",8
"861",3
"862",4
"863",2
"864",10
"865",3
"866",4
"867",5
"868",10
"869",10
"870",3
"871",1
"872",13
"873",7
"874",6
"875",10
"876",2
"877",2
"878",10
"879",3
"880",4
"881",14
"882",8
"883",3
"884",5
"885",4
"886",8
"887",5
"888",5
"889",1
"890",4
"891",5
"892",5
"893",11
"894",8
"895",10
"896",3
"897",7
"898",8
"899",5
"900",4
"901",6
"902",2
"903",7
"904",6
"905",8
"906",5
"907",9
"908",8
"909",11
"910",10
"911",3
"912",13
"913",11
"914",4
"915",1
"916",7
"917",5
"918",11
"919",5
"920",5
"921",7
"922",3
"923",4
"924",10
"925",5
"926",3
"927",12
"928",4
"929",11
"930",8
"931",11
"932",1
"933",4
"934",3
"935",8
"936",10
"937",8
"938",12
"939",7
"940",5
"941",3
"942",6
"943",10
"944",12
"945",6
"946",5
"947",7
"948",4
"949",7
"950",6
"951",12
"952",12
"953",8
"954",11
"955",8
"956",4
"957",11
"958",1
"959",4
"960",4
"961",7
"962",8
"963",11
"964",4
"965",8
"966",10
"967",8
"968",2
"969",9
"970",4
"971",10
"972",3
"973",12
"974",7
"975",6
"976",4
"977",10
"978",6
"979",7
"980",12
"981",5
"982",4
"983",10
"984",4
"985",4
"986",2
"987",4
"988",6
"989",7
"990",11
"991",8
"992",11
"993",7
"994",11
"995",10
"996",6
"997",11
"998",10
"999",1
"1000",3
"1001",6
"1002",11
"1003",2
"1004",9
"1005",5
"1006",4
"1007",9
"1008",7
"1009",8
"1010",4
"1011",11
"1012",4
"1013",12
"1014",7
"1015",2
"1016",8
"1017",13
"1018",7
"1019",7
"1020",9
"1021",3
"1022",1
"1023",4
"1024",10
"1025",6
"1026",14
"1027",4
"1028",9
"1029",6
"1030",4
"1031",14
"1032",11
"1033",12
"1034",5
"1035",1
"1036",5
"1037",3
"1038",3
"1039",4
"1040",9
"1041",7
"1042",10
"1043",0
"1044",10
"1045",8
"1046",7
"1047",2
"1048",6
"1049",9
"1050",5
"1051",3
"1052",4
"1053",10
"1054",4
"1055",1
"1056",5
"1057",2
"1058",3
"1059",3
"1060",12
"1061",3
"1062",5
"1063",4
"1064",6
"1065",2
"1066",4
"1067",7
"1068",5
"1069",2
"1070",1
"1071",7
"1072",5
"1073",9
"1074",9
"1075",6
"1076",9
"1077",10
"1078",5
"1079",10
"1080",3
"1081",7
"1082",7
"1083",2
"1084",12
"1085",3
"1086",4
"1087",6
"1088",0
"1089",9
"1090",7
"1091",2
"1092",10
"1093",10
"1094",12
"1095",11
"1096",8
"1097",8
"1098",9
"1099",4
"1100",9
"1101",0
"1102",5
"1103",5
"1104",8
"1105",5
"1106",3
"1107",9
"1108",11
"1109",1
"1110",6
"1111",2
"1112",13
"1113",10
"1114",1
"1115",4
"1116",10
"1117",6
"1118",3
"1119",7
"1120",4
"1121",8
"1122",3
"1123",6
"1124",6
"1125",3
"1126",8
"1127",1
"1128",4
"1129",8
"1130",8
"1131",12
"1132",12
"1133",5
"1134",10
"1135",4
"1136",8
"1137",9
"1138",4
"1139",13
"1140",0
"1141",7
"1142",3
"1143",7
"1144",8
"1145",4
"1146",9
"1147",2
"1148",5
"1149",11
"1150",8
"1151",11
"1152",8
"1153",14
"1154",5
"1155",9
"1156",11
"1157",7
"1158",8
"1159",6
"1160",10
"1161",6
"1162",7
"1163",5
"1164",7
"1165",9
"1166",8
"1167",3
"1168",2
"1169",2
"1170",6
"1171",7
"1172",3
"1173",3
"1174",5
"1175",9
"1176",5
"1177",7
"1178",0
"1179",8
"1180",2
"1181",10
"1182",4
"1183",2
"1184",9
"1185",4
"1186",5
"1187",2
"1188",4
"1189",5
"1190",8
"1191",8
"1192",5
"1193",8
"1194",3
"1195",6
"1196",0
"1197",5
"1198",6
"1199",3
"1200",4
"1201",11
"1202",5
"1203",6
"1204",1
"1205",6
"1206",6
"1207",9
"1208",7
"1209",13
"1210",6
"1211",5
"1212",8
"1213",9
"1214",4
"1215",4
"1216",11
"1217",5
"1218",9
"1219",8
"1220",7
"1221",11
"1222",5
"1223",6
"1224",9
"1225",11
"1226",6
"1227",6
"1228",8
"1229",9
"1230",1
"1231",8
"1232",10
"1233",0
"1234",7
"1235",8
"1236",11
"1237",1
"1238",6
"1239",5
"1240",6
"1241",8
"1242",1
"1243",8
"1244",0
"1245",4
"1246",12
"1247",5
"1248",5
"1249",11
"1250",12
"1251",12
"1252",2
"1253",5
"1254",9
"1255",10
"1256",4
"1257",8
"1258",9
"1259",5
"1260",9
"1261",5
"1262",6
"1263",9
"1264",11
"1265",3
"1266",2
"1267",5
"1268",9
"1269",8
"1270",7
"1271",10
"1272",3
"1273",7
"1274",4
"1275",7
"1276",5
"1277",8
"1278",7
"1279",3
"1280",10
"1281",10
"1282",12
"1283",1
"1284",8
"1285",5
"1286",5
"1287",3
"1288",6
"1289",5
"1290",8
"1291",4
"1292",6
"1293",3
"1294",1
"1295",5
"1296",9
"1297",2
"1298",1
"1299",5
"1300",10
"1301",8
"1302",6
"1303",6
"1304",12
"1305",3
"1306",8
"1307",1
"1308",4
"1309",10
"1310",8
"1311",5
"1312",3
"1313",11
"1314",11
"1315",10
"1316",7
"1317",11
"1318",6
"1319",3
"1320",4
"1321",9
"1322",10
"1323",8
"1324",4
"1325",8
"1326",4
"1327",2
"1328",5
"1329",6
"1330",5
"1331",7
"1332",3
"1333",3
"1334",12
"1335",9
"1336",8
"1337",6
"1338",12
"1339",3
"1340",3
"1341",11
"1342",10
"1343",15
"1344",5
"1345",1
"1346",4
"1347",2
"1348",2
"1349",4
"1350",14
"1351",4
"1352",7
"1353",6
"1354",8
"1355",10
"1356",11
"1357",8
"1358",11
"1359",0
"1360",2
"1361",5
"1362",7
"1363",7
"1364",7
"1365",7
"1366",0
"1367",7
"1368",4
"1369",2
"1370",3
"1371",7
"1372",7
"1373",9
"1374",6
"1375",8
"1376",4
"1377",10
"1378",8
"1379",8
"1380",6
"1381",8
"1382",9
"1383",6
"1384",3
"1385",6
"1386",0
"1387",4
"1388",4
"1389",9
"1390",6
"1391",6
"1392",1
"1393",13
"1394",8
"1395",5
"1396",8
"1397",8
"1398",13
"1399",2
"1400",7
"1401",9
"1402",3
"1403",9
"1404",11
"1405",1
"1406",9
"1407",6
"1408",1
"1409",5
"1410",13
"1411",8
"1412",8
"1413",11
"1414",7
"1415",11
"1416",3
"1417",5
"1418",5
"1419",6
"1420",2
"1421",13
"1422",7
"1423",10
"1424",6
"1425",3
"1426",0
"1427",7
"1428",9
"1429",7
"1430",12
"1431",2
"1432",6
"1433",12
"1434",4
"1435",6
"1436",4
"1437",12
"1438",7
"1439",8
"1440",0
"1441",7
"1442",5
"1443",7
"1444",9
"1445",4
"1446",9
"1447",10
"1448",6
"1449",3
"1450",2
"1451",8
"1452",6
"1453",9
"1454",12
"1455",9
"1456",11
"1457",0
"1458",2
"1459",6
"1460",2
"1461",6
"1462",2
"1463",0
"1464",5
"1465",11
"1466",6
"1467",7
"1468",12
"1469",8
"1470",4
"1471",5
"1472",8
"1473",4
"1474",6
"1475",3
"1476",14
"1477",5
"1478",2
"1479",12
"1480",5
"1481",6
"1482",9
"1483",4
"1484",11
"1485",6
"1486",1
"1487",13
"1488",4
"1489",2
"1490",9
"1491",5
"1492",7
"1493",3
"1494",4
"1495",7
"1496",2
"1497",10
"1498",4
"1499",5
"1500",0
"1501",6
"1502",0
"1503",9
"1504",3
"1505",7
"1506",9
"1507",6
"1508",12
"1509",3
"1510",2
"1511",6
"1512",2
"1513",10
"1514",12
"1515",13
"1516",8
"1517",3
"1518",9
"1519",15
"1520",3
"1521",2
"1522",1
"1523",8
"1524",5
"1525",6
"1526",6
"1527",7
"1528",8
"1529",3
"1530",3
"1531",3
"1532",9
"1533",6
"1534",3
"1535",6
"1536",8
"1537",7
"1538",8
"1539",4
"1540",8
"1541",3
"1542",6
"1543",3
"1544",5
"1545",13
"1546",5
"1547",13
"1548",9
"1549",3
"1550",6
"1551",7
"1552",1
"1553",7
"1554",3
"1555",3
"1556",3
"1557",8
"1558",8
"1559",3
"1560",11
"1561",8
"1562",8
"1563",3
"1564",7
"1565",4
"1566",13
"1567",7
"1568",8
"1569",7
"1570",3
"1571",5
"1572",4
"1573",7
"1574",9
"1575",2
"1576",3
"1577",11
"1578",6
"1579",13
"1580",12
"1581",3
"1582",2
"1583",4
"1584",0
"1585",5
"1586",7
"1587",4
"1588",8
"1589",8
"1590",6
"1591",7
"1592",6
"1593",5
"1594",2
"1595",6
"1596",11
"1597",0
"1598",5
"1599",9
"1600",4
"1601",5
"1602",6
"1603",4
"1604",10
"1605",2
"1606",4
"1607",3
"1608",11
"1609",8
"1610",4
"1611",6
"1612",7
"1613",9
"1614",12
"1615",5
"1616",2
"1617",8
"1618",4
"1619",3
"1620",3
"1621",3
"1622",3
"1623",9
"1624",6
"1625",6
"1626",4
"1627",10
"1628",7
"1629",9
"1630",5
"1631",10
"1632",7
"1633",12
"1634",1
"1635",4
"1636",2
"1637",9
"1638",12
"1639",8
"1640",4
"1641",9
"1642",4
"1643",14
"1644",4
"1645",5
"1646",4
"1647",10
"1648",1
"1649",3
"1650",3
"1651",10
"1652",2
"1653",12
"1654",7
"1655",4
"1656",6
"1657",4
"1658",8
"1659",8
"1660",11
"1661",2
"1662",6
"1663",3
"1664",7
"1665",7
"1666",5
"1667",10
"1668",10
"1669",9
"1670",2
"1671",5
"1672",5
"1673",12
"1674",13
"1675",12
"1676",10
"1677",7
"1678",7
"1679",10
"1680",8
"1681",2
"1682",4
"1683",6
"1684",6
"1685",7
"1686",9
"1687",9
"1688",5
"1689",2
"1690",9
"1691",5
"1692",2
"1693",3
"1694",2
"1695",3
"1696",10
"1697",3
"1698",8
"1699",9
"1700",6
"1701",10
"1702",3
"1703",8
"1704",7
"1705",1
"1706",5
"1707",11
"1708",6
"1709",1
"1710",1
"1711",10
"1712",12
"1713",2
"1714",4
"1715",1
"1716",5
"1717",11
"1718",7
"1719",5
"1720",6
"1721",8
"1722",7
"1723",11
"1724",8
"1725",5
"1726",6
"1727",6
"1728",5
"1729",1
"1730",6
"1731",4
"1732",9
"1733",7
"1734",0
"1735",3
"1736",0
"1737",1
"1738",14
"1739",12
"1740",6
"1741",4
"1742",8
"1743",10
"1744",14
"1745",1
"1746",5
"1747",7
"1748",7
"1749",10
"1750",12
"1751",7
"1752",6
"1753",10
"1754",11
"1755",7
"1756",11
"1757",2
"1758",9
"1759",6
"1760",5
"1761",9
"1762",7
"1763",7
"1764",1
"1765",3
"1766",4
"1767",1
"1768",6
"1769",4
"1770",7
"1771",8
"1772",7
"1773",8
"1774",1
"1775",3
"1776",2
"1777",3
"1778",2
"1779",1
"1780",6
"1781",2
"1782",2
"1783",8
"1784",6
"1785",10
"1786",5
"1787",11
"1788",7
"1789",8
"1790",6
"1791",4
"1792",5
"1793",3
"1794",11
"1795",12
"1796",2
"1797",7
"1798",3
"1799",7
"1800",7
"1801",5
"1802",6
"1803",3
"1804",8
"1805",3
"1806",5
"1807",10
"1808",4
"1809",4
"1810",5
"1811",6
"1812",7
"1813",7
"1814",14
"1815",10
"1816",10
"1817",5
"1818",10
"1819",7
"1820",11
"1821",13
"1822",6
"1823",6
"1824",9
"1825",10
"1826",8
"1827",5
"1828",2
"1829",7
"1830",6
"1831",2
"1832",7
"1833",5
"1834",9
"1835",11
"1836",4
"1837",2
"1838",7
"1839",10
"1840",6
"1841",3
"1842",4
"1843",15
"1844",7
"1845",7
"1846",4
"1847",6
"1848",5
"1849",6
"1850",2
"1851",6
"1852",5
"1853",10
"1854",4
"1855",4
"1856",2
"1857",5
"1858",13
"1859",5
"1860",5
"1861",4
"1862",3
"1863",5
"1864",0
"1865",10
"1866",12
"1867",5
"1868",9
"1869",11
"1870",11
"1871",7
"1872",13
"1873",2
"1874",13
"1875",4
"1876",8
"1877",6
"1878",2
"1879",2
"1880",4
"1881",9
"1882",8
"1883",7
"1884",10
"1885",9
"1886",6
"1887",6
"1888",7
"1889",4
"1890",7
"1891",11
"1892",3
"1893",2
"1894",3
"1895",3
"1896",8
"1897",6
"1898",3
"1899",10
"1900",3
"1901",5
"1902",6
"1903",1
"1904",6
"1905",13
"1906",5
"1907",11
"1908",1
"1909",9
"1910",8
"1911",6
"1912",10
"1913",2
"1914",3
"1915",3
"1916",5
"1917",6
"1918",5
"1919",8
"1920",3
"1921",11
"1922",9
"1923",8
"1924",15
"1925",3
"1926",6
"1927",8
"1928",6
"1929",5
"1930",7
"1931",9
"1932",6
"1933",6
"1934",6
"1935",2
"1936",12
"1937",8
"1938",11
"1939",7
"1940",2
"1941",9
"1942",8
"1943",5
"1944",4
"1945",9
"1946",9
"1947",8
"1948",5
"1949",4
"1950",5
"1951",9
"1952",2
"1953",5
"1954",3
"1955",5
"1956",4
"1957",12
"1958",7
"1959",10
"1960",8
"1961",2
"1962",9
"1963",3
"1964",12
"1965",5
"1966",14
"1967",10
"1968",7
"1969",7
"1970",3
"1971",2
"1972",7
"1973",6
"1974",6
"1975",3
"1976",3
"1977",9
"1978",5
"1979",8
"1980",3
"1981",0
"1982",4
"1983",5
"1984",2
"1985",9
"1986",8
"1987",8
"1988",8
"1989",12
"1990",14
"1991",4
"1992",8
"1993",7
"1994",3
"1995",1
"1996",5
"1997",4
"1998",6
"1999",10
"2000",4
"2001",2
"2002",13
"2003",8
"2004",3
"2005",8
"2006",8
"2007",6
"2008",7
"2009",4
"2010",4
"2011",10
"2012",4
"2013",9
"2014",5
"2015",4
"2016",8
"2017",6
"2018",1
"2019",4
"2020",2
"2021",6
"2022",10
"2023",2
"2024",10
"2025",2
"2026",6
"2027",2
"2028",10
"2029",5
"2030",14
"2031",5
"2032",2
"2033",10
"2034",11
"2035",4
"2036",8
"2037",3
"2038",3
"2039",9
"2040",11
"2041",3
"2042",10
"2043",2
"2044",4
"2045",11
"2046",13
"2047",2
"2048",7
"2049",5
"2050",8
"2051",12
"2052",11
"2053",6
"2054",9
"2055",8
"2056",8
"2057",15
"2058",7
"2059",4
"2060",10
"2061",6
"2062",12
"2063",10
"2064",7
"2065",2
"2066",2
"2067",6
"2068",8
"2069",13
"2070",6
"2071",4
"2072",2
"2073",7
"2074",1
"2075",4
"2076",6
"2077",6
"2078",5
"2079",8
"2080",1
"2081",4
"2082",1
"2083",6
"2084",8
"2085",4
"2086",6
"2087",7
"2088",1
"2089",4
"2090",5
"2091",3
"2092",9
"2093",3
"2094",10
"2095",3
"2096",6
"2097",13
"2098",5
"2099",5
"2100",3
"2101",14
"2102",3
"2103",12
"2104",10
"2105",6
"2106",3
"2107",10
"2108",10
"2109",2
"2110",1
"2111",6
"2112",4
"2113",6
"2114",6
"2115",3
"2116",6
"2117",13
"2118",2
"2119",13
"2120",9
"2121",11
"2122",6
"2123",5
"2124",6
"2125",7
"2126",5
"2127",2
"2128",5
"2129",8
"2130",1
"2131",5
"2132",3
"2133",3
"2134",11
"2135",13
"2136",6
"2137",1
"2138",6
"2139",2
"2140",8
"2141",7
"2142",5
"2143",11
"2144",10
"2145",2
"2146",10
"2147",4
"2148",5
"2149",10
"2150",3
"2151",0
"2152",4
"2153",4
"2154",1
"2155",2
"2156",5
"2157",12
"2158",10
"2159",8
"2160",6
"2161",6
"2162",10
"2163",7
"2164",2
"2165",7
"2166",3
"2167",3
"2168",0
"2169",8
"2170",12
"2171",7
"2172",5
"2173",5
"2174",4
"2175",5
"2176",8
"2177",7
"2178",10
"2179",8
"2180",2
"2181",7
"2182",6
"2183",5
"2184",4
"2185",7
"2186",12
"2187",4
"2188",3
"2189",10
"2190",9
"2191",2
"2192",9
"2193",2
"2194",4
"2195",4
"2196",9
"2197",3
"2198",6
"2199",2
"2200",5
"2201",2
"2202",9
"2203",11
"2204",6
"2205",4
"2206",11
"2207",10
"2208",3
"2209",4
"2210",11
"2211",9
"2212",9
"2213",3
"2214",4
"2215",10
"2216",7
"2217",11
"2218",3
"2219",10
"2220",2
"2221",5
"2222",6
"2223",10
"2224",2
"2225",3
"2226",7
"2227",9
"2228",1
"2229",8
"2230",7
"2231",6
"2232",5
"2233",7
"2234",0
"2235",5
"2236",6
"2237",12
"2238",4
"2239",11
"2240",8
"2241",6
"2242",4
"2243",3
"2244",6
"2245",6
"2246",14
"2247",12
"2248",7
"2249",9
"2250",5
"2251",11
"2252",6
"2253",10
"2254",6
"2255",4
"2256",4
"2257",2
"2258",6
"2259",10
"2260",9
"2261",10
"2262",9
"2263",8
"2264",5
"2265",0
"2266",2
"2267",3
"2268",5
"2269",6
"2270",9
"2271",1
"2272",2
"2273",2
"2274",13
"2275",2
"2276",6
"2277",4
"2278",2
"2279",7
"2280",8
"2281",12
"2282",4
"2283",6
"2284",10
"2285",3
"2286",9
"2287",9
"2288",9
"2289",3
"2290",3
"2291",2
"2292",9
"2293",12
"2294",7
"2295",3
"2296",4
"2297",12
"2298",6
"2299",2
"2300",5
"2301",5
"2302",8
"2303",2
"2304",11
"2305",5
"2306",5
"2307",6
"2308",7
"2309",4
"2310",2
"2311",0
"2312",9
"2313",2
"2314",8
"2315",1
"2316",7
"2317",4
"2318",5
"2319",4
"2320",10
"2321",6
"2322",8
"2323",4
"2324",2
"2325",6
"2326",3
"2327",9
"2328",10
"2329",11
"2330",11
"2331",8
"2332",7
"2333",2
"2334",10
"2335",9
"2336",12
"2337",4
"2338",3
"2339",9
"2340",5
"2341",9
"2342",1
"2343",5
"2344",13
"2345",5
"2346",1
"2347",2
"2348",1
"2349",3
"2350",5
"2351",1
"2352",10
"2353",3
"2354",13
"2355",8
"2356",6
"2357",2
"2358",2
"2359",7
"2360",10
"2361",7
"2362",8
"2363",3
"2364",6
"2365",3
"2366",11
"2367",3
"2368",3
"2369",5
"2370",1
"2371",11
"2372",11
"2373",4
"2374",12
"2375",7
"2376",6
"2377",7
"2378",7
"2379",9
"2380",12
"2381",2
"2382",7
"2383",9
"2384",2
"2385",7
"2386",8
"2387",6
"2388",5
"2389",12
"2390",9
"2391",3
"2392",6
"2393",7
"2394",12
"2395",9
"2396",7
"2397",6
"2398",3
"2399",8
"2400",4
"2401",11
"2402",7
"2403",8
"2404",11
"2405",8
"2406",6
"2407",2
"2408",15
"2409",5
"2410",4
"2411",5
"2412",7
"2413",7
"2414",5
"2415",8
"2416",0
"2417",8
"2418",4
"2419",10
"2420",1
"2421",9
"2422",9
"2423",0
"2424",8
"2425",9
"2426",12
"2427",5
"2428",9
"2429",5
"2430",0
"2431",2
"2432",0
"2433",4
"2434",5
"2435",6
"2436",2
"2437",1
"2438",7
"2439",9
"2440",3
"2441",11
"2442",5
"2443",2
"2444",7
"2445",9
"2446",6
"2447",4
"2448",3
"2449",8
"2450",7
"2451",8
"2452",4
"2453",7
"2454",12
"2455",10
"2456",5
"2457",9
"2458",6
"2459",1
"2460",7
"2461",4
"2462",6
"2463",10
"2464",2
"2465",9
"2466",4
"2467",10
"2468",2
"2469",6
"2470",5
"2471",9
"2472",4
"2473",4
"2474",6
"2475",7
"2476",3
"2477",7
"2478",5
"2479",0
"2480",5
"2481",5
"2482",8
"2483",5
"2484",10
"2485",4
"2486",1
"2487",6
"2488",8
"2489",2
"2490",11
"2491",4
"2492",8
"2493",13
"2494",0
"2495",11
"2496",7
"2497",9
"2498",1
