"x","m","tests","gender","study","semester","attempt"
13,13,26,"female","571",1,"1"
10,13,20,"female","571",1,"1"
3,13,16,"male","571",1,"1"
9,13,24,"male","571",6,"2"
7,13,21,"female","155",2,"2"
1,13,18,"male","571",1,"1"
8,13,20,"male","571",7,"4"
7,13,15,"male","571",3,"3"
8,13,15,"male","571",7,"2"
4,13,15,"male","571",1,"1"
9,13,13,"male","571",5,"2"
10,13,17,"male","571",5,"4"
1,13,14,"male","571",10,"4"
8,13,18,"female","571",11,"4"
12,13,26,"male","571",1,"1"
8,13,21,"male","571",3,"3"
8,13,18,"male","571",6,"2"
11,13,17,"female","571",7,"4"
10,13,16,"male","571",5,"4"
5,13,14,"male","571",4,"4"
12,13,18,"female","571",1,"1"
7,13,18,"female","155",3,"3"
4,13,18,"male","571",7,"3"
4,13,14,"female","155",1,"1"
0,13,20,"female","571",1,"1"
6,13,23,"male","571",1,"1"
5,13,14,"male","155",7,"4"
6,13,17,"female","571",3,"3"
9,13,23,"female","571",9,"4"
4,13,24,"female","571",7,"4"
4,13,19,"female","571",8,"4"
10,13,23,"male","571",1,"1"
7,13,22,"female","571",1,"1"
5,13,21,"female","155",1,"1"
3,13,22,"male","571",1,"1"
7,13,15,"male","571",1,"1"
10,13,21,"female","571",1,"1"
8,13,15,"male","571",7,"3"
9,13,16,"male","571",7,"4"
6,13,15,"male","571",2,"4"
6,13,20,"female","571",1,"1"
9,13,20,"male","571",7,"4"
8,13,18,"female","571",3,"1"
13,13,21,"female","571",1,"1"
12,13,23,"male","571",1,"1"
7,13,23,"male","571",1,"1"
9,13,20,"female","571",1,"1"
9,13,25,"female","571",1,"1"
3,13,20,"male","571",1,"1"
8,13,20,"male","571",9,"3"
7,13,15,"male","155",5,"2"
3,13,16,"male","571",11,"4"
4,13,18,"male","155",3,"3"
11,13,24,"male","571",1,"1"
8,13,17,"female","571",1,"1"
8,13,20,"male","571",7,"2"
5,13,24,"female","571",1,"1"
3,13,14,"female","155",1,"1"
5,13,19,"male","155",1,"1"
7,13,24,"male","571",1,"1"
7,13,17,"female","571",1,"1"
4,13,18,"male","571",1,"1"
12,13,25,"female","571",1,"1"
9,13,23,"female","571",9,"5"
5,13,23,"female","571",5,"3"
8,13,22,"male","571",3,"1"
11,13,19,"female","571",1,"1"
11,13,21,"female","571",1,"1"
11,13,26,"male","571",1,"1"
7,13,18,"female","571",5,"3"
10,13,21,"female","571",4,"3"
9,13,23,"female","571",1,"1"
10,13,24,"female","571",1,"1"
6,13,23,"male","571",1,"1"
7,13,20,"female","155",1,"1"
1,13,13,"male","571",1,"1"
9,13,22,"male","155",1,"1"
7,13,22,"female","155",1,"1"
4,13,16,"male","571",1,"1"
5,13,20,"female","155",1,"1"
13,13,25,"female","571",1,"1"
8,13,21,"male","571",1,"4"
6,13,22,"female","571",1,"1"
6,13,17,"male","571",5,"3"
8,13,21,"male","571",7,"3"
13,13,20,"male","571",3,"1"
1,13,15,"female","571",6,"3"
7,13,22,"male","571",1,"1"
8,13,16,"female","571",7,"3"
5,13,9,"male","155",7,"4"
8,13,23,"male","571",1,"1"
6,13,16,"male","571",4,"3"
13,13,26,"female","571",1,"1"
12,13,26,"female","155",1,"1"
6,13,19,"female","571",10,"4"
7,13,17,"male","571",9,"4"
7,13,24,"male","155",1,"1"
4,13,21,"female","571",1,"1"
6,13,16,"male","571",3,"2"
8,13,19,"male","571",1,"1"
10,13,20,"female","571",11,"4"
11,13,18,"male","571",5,"4"
9,13,21,"female","155",1,"1"
10,13,17,"female","571",1,"1"
11,13,15,"male","571",9,"5"
12,13,24,"female","571",1,"1"
4,13,13,"male","571",1,"1"
12,13,25,"female","155",1,"1"
9,13,16,"male","571",8,"4"
8,13,15,"female","571",7,"4"
8,13,15,"male","571",7,"4"
9,13,18,"male","571",6,"4"
7,13,18,"male","571",3,"3"
6,13,17,"male","571",1,"1"
1,13,16,"male","571",1,"1"
9,13,15,"male","155",5,"4"
9,13,15,"male","571",7,"4"
2,13,13,"female","571",1,"1"
11,13,18,"female","571",1,"1"
8,13,21,"male","571",14,"3"
2,13,13,"female","155",3,"2"
9,13,21,"male","571",3,"3"
5,13,17,"female","571",3,"1"
8,13,20,"female","571",9,"4"
5,13,15,"male","571",1,"1"
7,13,22,"male","571",1,"1"
0,13,18,"male","571",1,"1"
2,13,15,"male","571",1,"1"
1,13,16,"male","571",1,"1"
9,13,13,"male","571",1,"1"
6,13,16,"female","571",7,"4"
3,13,15,"male","571",1,"1"
11,13,25,"female","155",5,"3"
2,13,13,"male","571",16,"3"
4,13,17,"female","571",1,"1"
13,13,22,"male","571",1,"1"
8,13,20,"female","571",7,"4"
7,13,21,"female","571",5,"2"
2,13,14,"male","571",1,"1"
9,13,17,"male","571",7,"4"
8,13,18,"female","571",8,"4"
3,13,13,"female","571",1,"1"
13,13,26,"female","571",1,"1"
8,13,15,"female","571",4,"3"
8,13,18,"male","571",8,"4"
7,13,19,"male","571",4,"2"
6,13,14,"female","571",3,"3"
10,13,23,"female","155",1,"1"
9,13,22,"female","571",11,"5"
10,13,18,"female","155",1,"1"
2,13,21,"male","571",1,"1"
7,13,24,"male","571",1,"1"
8,13,14,"male","571",5,"3"
10,13,18,"female","571",1,"1"
12,13,26,"female","155",1,"1"
10,13,18,"female","571",3,"3"
6,13,16,"male","571",14,"3"
13,13,26,"male","155",1,"1"
9,13,24,"male","571",9,"4"
8,13,20,"female","155",1,"1"
5,13,22,"male","571",12,"1"
11,13,21,"female","571",3,"3"
6,13,17,"male","571",1,"1"
9,13,18,"female","571",6,"4"
8,13,22,"male","571",5,"3"
11,13,26,"male","571",1,"1"
8,13,23,"female","571",1,"1"
10,13,16,"male","571",3,"3"
5,13,17,"male","571",1,"1"
9,13,25,"female","571",1,"1"
4,13,21,"female","571",3,"3"
4,13,25,"female","571",1,"1"
8,13,21,"male","571",1,"1"
5,13,20,"male","571",1,"1"
7,13,14,"female","571",9,"4"
5,13,23,"female","571",1,"1"
11,13,23,"male","155",1,"1"
7,13,20,"male","571",7,"3"
9,13,20,"male","571",7,"3"
7,13,22,"male","155",1,"1"
7,13,17,"male","571",2,"2"
9,13,21,"male","571",1,"1"
9,13,20,"female","571",3,"3"
7,13,16,"male","571",3,"3"
12,13,21,"male","155",1,"1"
8,13,17,"female","155",1,"1"
6,13,15,"female","571",7,"4"
13,13,26,"female","155",1,"1"
1,13,15,"male","571",1,"1"
5,13,18,"male","571",1,"1"
9,13,16,"female","571",1,"1"
9,13,24,"female","571",1,"1"
6,13,22,"male","571",1,"1"
6,13,21,"male","571",1,"1"
7,13,19,"male","571",3,"3"
11,13,24,"male","571",1,"1"
5,13,25,"female","571",1,"1"
8,13,16,"female","155",1,"1"
6,13,16,"male","571",1,"1"
10,13,23,"female","571",1,"1"
8,13,24,"male","571",1,"1"
7,13,15,"male","571",6,"4"
5,13,26,"female","155",1,"1"
8,13,19,"male","571",1,"1"
11,13,24,"female","571",1,"1"
5,13,23,"female","571",1,"1"
7,13,19,"female","571",4,"4"
7,13,19,"male","571",1,"1"
8,13,21,"female","155",1,"1"
7,13,16,"male","571",3,"3"
5,13,18,"male","571",1,"1"
9,13,14,"female","571",1,"1"
12,13,25,"female","571",1,"1"
5,13,19,"female","571",3,"3"
12,13,25,"female","571",1,"1"
2,13,14,"female","571",1,"1"
6,13,22,"male","571",1,"1"
4,13,19,"male","155",1,"1"
3,13,17,"female","155",7,"5"
12,13,24,"male","155",1,"1"
2,13,21,"male","155",1,"1"
11,13,14,"male","155",15,"4"
11,13,24,"female","571",1,"1"
5,13,22,"female","571",1,"1"
7,13,16,"male","571",5,"3"
5,13,24,"male","155",1,"1"
0,13,15,"male","571",1,"1"
9,13,26,"female","155",1,"1"
7,13,23,"female","571",1,"1"
8,13,22,"male","571",1,"1"
8,13,17,"male","571",3,"3"
3,13,18,"male","155",1,"1"
10,13,24,"female","155",1,"1"
5,13,15,"male","571",3,"3"
8,13,22,"male","571",6,"2"
9,13,23,"female","571",3,"3"
7,13,20,"female","155",1,"1"
5,13,14,"male","571",12,"4"
8,13,22,"female","571",1,"1"
6,13,21,"female","571",1,"1"
8,13,18,"male","571",1,"1"
3,13,18,"male","571",1,"1"
5,13,20,"male","571",1,"1"
4,13,22,"male","571",3,"2"
11,13,21,"male","571",1,"1"
6,13,20,"female","571",5,"4"
8,13,19,"male","571",3,"3"
11,13,21,"female","571",1,"1"
5,13,18,"female","571",3,"3"
7,13,23,"male","571",3,"3"
6,13,19,"male","155",1,"1"
8,13,16,"female","571",3,"2"
10,13,19,"male","155",13,"5"
7,13,19,"male","571",6,"2"
8,13,13,"male","571",4,"4"
6,13,13,"male","571",1,"1"
8,13,20,"female","571",4,"3"
12,13,26,"female","571",1,"1"
8,13,16,"male","155",1,"1"
9,13,18,"female","155",3,"3"
11,13,18,"male","571",3,"3"
10,13,24,"male","571",1,"1"
9,13,21,"male","571",9,"3"
9,13,17,"male","571",1,"1"
8,13,24,"male","571",1,"1"
8,13,22,"male","155",1,"1"
7,13,18,"female","571",9,"4"
8,13,16,"female","155",1,"1"
5,13,26,"female","571",1,"1"
4,13,22,"female","571",9,"4"
7,13,20,"male","155",3,"2"
9,13,17,"male","571",4,"3"
7,13,16,"male","571",1,"1"
8,13,24,"male","571",1,"1"
3,13,15,"male","571",9,"4"
7,13,23,"female","155",1,"1"
5,13,14,"female","571",1,"1"
5,13,24,"male","571",1,"1"
8,13,26,"female","571",1,"1"
9,13,16,"male","571",1,"1"
10,13,23,"male","571",5,"3"
6,13,14,"male","571",5,"4"
7,13,24,"female","571",1,"1"
2,13,16,"male","571",1,"1"
7,13,13,"female","155",4,"5"
10,13,25,"female","571",1,"1"
5,13,18,"female","571",5,"2"
13,13,26,"female","571",1,"1"
7,13,26,"female","571",1,"1"
3,13,13,"female","571",1,"1"
8,13,18,"female","571",2,"1"
6,13,16,"male","571",3,"1"
3,13,14,"female","571",9,"3"
4,13,13,"male","571",3,"3"
6,13,19,"female","155",1,"1"
9,13,22,"male","571",6,"5"
7,13,14,"male","571",1,"1"
9,13,22,"female","571",4,"1"
6,13,16,"male","571",1,"1"
9,13,26,"male","571",1,"1"
2,13,24,"female","571",1,"1"
7,13,19,"female","571",1,"1"
9,13,22,"female","155",1,"1"
4,13,15,"male","571",5,"4"
2,13,22,"male","571",1,"1"
9,13,25,"female","155",1,"1"
10,13,22,"female","571",3,"3"
6,13,16,"male","571",1,"1"
9,13,19,"female","571",9,"4"
7,13,22,"male","571",1,"1"
11,13,26,"male","571",1,"1"
9,13,23,"male","571",1,"1"
7,13,22,"female","571",4,"4"
3,13,15,"male","571",10,"4"
4,13,15,"male","571",1,"1"
8,13,23,"female","155",1,"1"
12,13,25,"female","155",1,"1"
9,13,22,"male","571",1,"1"
4,13,16,"male","571",2,"1"
7,13,18,"male","571",1,"1"
7,13,17,"female","571",7,"4"
9,13,18,"female","571",6,"4"
11,13,22,"female","571",9,"5"
0,13,14,"male","571",7,"3"
13,13,25,"female","571",7,"4"
6,13,19,"male","571",3,"3"
0,13,18,"female","571",3,"1"
7,13,19,"female","571",9,"4"
11,13,21,"male","571",3,"3"
13,13,26,"male","571",1,"1"
8,13,16,"male","571",12,"5"
6,13,18,"female","571",1,"1"
9,13,19,"female","571",3,"3"
3,13,15,"male","571",1,"1"
8,13,19,"female","571",3,"2"
10,13,23,"female","571",7,"4"
9,13,24,"female","571",1,"1"
11,13,23,"female","155",1,"1"
11,13,25,"male","571",1,"1"
12,13,23,"male","571",1,"1"
13,13,25,"male","571",1,"1"
5,13,23,"male","571",1,"1"
11,13,24,"male","571",1,"1"
8,13,26,"male","571",5,"3"
2,13,13,"male","571",6,"3"
7,13,17,"female","571",3,"3"
4,13,20,"female","571",1,"1"
8,13,24,"male","571",1,"1"
0,13,15,"female","571",1,"1"
2,13,18,"female","155",1,"1"
4,13,16,"male","571",7,"3"
9,13,17,"male","571",1,"2"
2,13,19,"female","571",1,"1"
6,13,17,"female","571",5,"4"
10,13,21,"female","571",7,"4"
5,13,16,"male","571",1,"1"
10,13,23,"male","155",1,"1"
7,13,21,"male","571",3,"3"
6,13,17,"male","571",4,"3"
1,13,19,"female","155",1,"1"
8,13,17,"male","571",8,"2"
11,13,25,"female","155",1,"1"
8,13,18,"female","571",3,"2"
2,13,13,"female","571",3,"3"
3,13,14,"male","155",1,"1"
4,13,21,"male","155",1,"1"
10,13,17,"male","571",7,"4"
5,13,24,"female","571",1,"1"
8,13,22,"female","571",1,"1"
4,13,17,"female","155",1,"1"
1,13,11,"female","571",6,"3"
3,13,13,"female","571",1,"1"
6,13,14,"male","571",21,"4"
12,13,23,"male","155",1,"1"
6,13,15,"male","571",3,"2"
6,13,18,"male","155",3,"3"
10,13,21,"female","155",5,"4"
8,13,17,"male","571",6,"2"
3,13,18,"male","571",3,"3"
9,13,19,"male","571",1,"1"
4,13,16,"male","571",1,"1"
5,13,17,"male","571",1,"1"
7,13,22,"male","571",1,"1"
10,13,20,"male","571",3,"3"
11,13,25,"male","155",1,"1"
9,13,22,"male","571",1,"1"
8,13,19,"male","571",1,"1"
5,13,21,"male","571",1,"1"
8,13,15,"male","571",3,"3"
9,13,17,"male","571",4,"4"
1,13,15,"male","571",1,"1"
7,13,21,"male","155",1,"1"
8,13,23,"male","571",3,"1"
6,13,17,"male","571",6,"3"
11,13,22,"male","571",2,"1"
8,13,23,"male","571",1,"1"
7,13,19,"male","571",1,"1"
11,13,20,"male","571",3,"3"
3,13,16,"female","571",1,"1"
10,13,22,"male","571",1,"1"
6,13,20,"male","571",1,"1"
4,13,24,"male","155",1,"1"
8,13,18,"female","571",4,"4"
9,13,26,"female","155",1,"1"
8,13,20,"male","571",10,"4"
3,13,22,"female","571",1,"1"
10,13,22,"female","571",3,"3"
13,13,26,"female","155",1,"1"
3,13,16,"male","571",1,"1"
8,13,16,"male","571",3,"2"
9,13,20,"female","155",1,"1"
8,13,21,"male","571",1,"1"
9,13,18,"male","571",7,"4"
6,13,20,"female","155",1,"1"
4,13,14,"male","571",1,"1"
5,13,19,"female","571",4,"4"
5,13,20,"female","571",1,"1"
11,13,26,"male","571",1,"1"
13,13,26,"female","155",1,"1"
7,13,19,"female","571",5,"4"
9,13,23,"male","571",1,"1"
10,13,21,"male","571",5,"4"
9,13,22,"male","571",1,"1"
7,13,21,"female","571",7,"3"
10,13,21,"male","571",5,"2"
12,13,26,"male","571",1,"2"
12,13,24,"female","571",1,"1"
9,13,24,"female","155",1,"1"
7,13,18,"male","571",1,"1"
10,13,25,"male","571",1,"1"
8,13,21,"male","571",7,"4"
8,13,18,"female","155",1,"1"
10,13,17,"male","571",4,"4"
7,13,17,"male","571",1,"1"
4,13,17,"female","155",1,"1"
8,13,16,"male","571",4,"4"
6,13,17,"female","571",1,"1"
9,13,23,"female","155",3,"2"
7,13,15,"female","571",1,"1"
6,13,17,"male","571",3,"2"
10,13,23,"female","571",12,"3"
11,13,20,"male","571",11,"4"
12,13,26,"female","571",1,"1"
7,13,15,"female","571",3,"3"
5,13,15,"female","571",1,"1"
8,13,26,"female","155",1,"1"
9,13,19,"female","155",7,"4"
2,13,15,"male","571",1,"1"
5,13,20,"male","571",1,"1"
3,13,25,"female","155",1,"1"
9,13,25,"male","571",5,"4"
11,13,26,"female","571",1,"1"
8,13,22,"female","571",1,"1"
5,13,22,"female","155",1,"1"
10,13,25,"male","571",1,"1"
6,13,15,"female","571",1,"1"
9,13,26,"male","155",1,"1"
9,13,21,"male","571",3,"3"
3,13,20,"female","571",1,"1"
5,13,20,"female","155",1,"1"
4,13,22,"female","571",1,"1"
8,13,15,"male","155",7,"3"
10,13,17,"male","571",7,"4"
11,13,22,"male","155",3,"2"
7,13,23,"male","155",2,"2"
6,13,20,"female","155",1,"1"
1,13,15,"male","571",1,"1"
4,13,17,"female","571",3,"1"
6,13,21,"male","571",13,"5"
2,13,16,"male","571",1,"1"
7,13,23,"female","155",3,"3"
4,13,20,"female","571",1,"1"
7,13,21,"female","571",1,"1"
10,13,21,"female","155",1,"1"
8,13,21,"male","571",5,"2"
2,13,18,"male","571",1,"1"
4,13,22,"male","155",1,"1"
6,13,22,"male","571",1,"1"
7,13,22,"male","571",1,"1"
6,13,23,"male","571",1,"1"
7,13,16,"male","571",1,"1"
9,13,21,"female","571",1,"1"
9,13,22,"female","155",1,"1"
6,13,22,"female","155",1,"1"
8,13,15,"male","571",6,"3"
11,13,24,"female","155",7,"1"
6,13,19,"male","571",6,"1"
9,13,13,"male","571",1,"1"
3,13,17,"male","571",3,"3"
5,13,24,"female","571",8,"4"
3,13,15,"male","571",1,"1"
3,13,14,"male","571",9,"4"
11,13,25,"male","155",1,"1"
7,13,16,"female","571",2,"1"
8,13,19,"male","571",3,"3"
6,13,19,"female","571",7,"4"
13,13,26,"female","155",1,"1"
10,13,20,"female","571",1,"1"
9,13,26,"female","571",1,"1"
9,13,19,"male","155",1,"1"
7,13,19,"male","571",5,"4"
8,13,13,"male","571",4,"2"
9,13,21,"female","571",3,"3"
7,13,17,"female","571",3,"3"
6,13,14,"male","571",1,"1"
7,13,21,"female","571",5,"3"
8,13,13,"male","571",7,"4"
10,13,21,"male","571",1,"1"
2,13,20,"male","571",1,"1"
6,13,20,"male","571",5,"3"
7,13,20,"male","155",1,"1"
10,13,17,"male","571",9,"4"
6,13,13,"male","571",1,"1"
2,13,14,"male","571",3,"3"
12,13,22,"female","571",1,"1"
10,13,24,"male","571",1,"1"
7,13,14,"male","571",5,"3"
5,13,17,"male","571",4,"3"
11,13,26,"male","571",7,"1"
7,13,24,"female","155",1,"1"
7,13,21,"female","571",1,"1"
5,13,22,"male","571",1,"1"
10,13,22,"female","155",1,"1"
7,13,19,"male","571",1,"1"
4,13,23,"female","571",1,"1"
9,13,22,"female","571",5,"4"
7,13,22,"male","571",1,"1"
7,13,21,"female","571",9,"4"
9,13,20,"male","571",8,"4"
5,13,22,"female","571",1,"1"
7,13,23,"male","571",5,"4"
5,13,16,"female","571",1,"1"
13,13,26,"female","155",1,"1"
12,13,23,"female","571",1,"1"
0,13,22,"male","571",1,"1"
6,13,17,"male","571",1,"1"
10,13,25,"female","571",1,"1"
6,13,19,"female","571",1,"1"
5,13,21,"female","571",1,"1"
6,13,24,"male","571",1,"1"
2,13,15,"male","571",1,"1"
6,13,15,"female","155",1,"1"
4,13,14,"male","571",9,"1"
13,13,25,"male","571",1,"1"
8,13,17,"male","571",4,"4"
7,13,25,"male","155",1,"1"
10,13,25,"female","571",1,"1"
7,13,20,"female","571",12,"4"
9,13,14,"male","571",8,"4"
10,13,23,"male","155",1,"1"
12,13,25,"female","571",1,"1"
5,13,23,"male","571",1,"1"
8,13,25,"male","571",1,"1"
7,13,19,"female","571",9,"5"
8,13,26,"female","155",1,"1"
4,13,21,"male","155",1,"1"
9,13,22,"male","155",1,"1"
4,13,14,"female","155",5,"4"
1,13,10,"male","571",6,"2"
