"x","m","gender","type","size","bachelor","language"
30,56,0,"3",1600,0.14,0.34
30,56,1,"3",1600,0.14,0.34
30,56,1,"3",1600,0.14,0.34
32,56,0,"3",1600,0.14,0.34
36,56,0,"3",1600,0.14,0.34
41,56,1,"3",1600,0.14,0.34
30,56,1,"3",1600,0.14,0.34
38,56,0,"3",1600,0.14,0.34
35,56,0,"3",1600,0.14,0.34
37,56,0,"3",1600,0.14,0.34
32,56,0,"3",1600,0.14,0.34
30,56,1,"3",1600,0.14,0.34
36,56,0,"3",1600,0.14,0.34
38,56,0,"3",1600,0.14,0.34
32,56,0,"3",1600,0.14,0.34
34,56,0,"3",1600,0.14,0.34
28,56,1,"3",1600,0.14,0.34
31,56,0,"3",1600,0.14,0.34
28,56,1,"3",1600,0.14,0.34
33,56,0,"3",1600,0.14,0.34
37,56,1,"3",1600,0.14,0.34
34,56,0,"3",1600,0.14,0.34
32,56,0,"3",1600,0.14,0.34
31,56,0,"3",1600,0.14,0.34
35,56,0,"3",1600,0.14,0.34
38,56,0,"3",1600,0.14,0.34
30,56,0,"3",1600,0.14,0.34
33,56,0,"3",1600,0.14,0.34
37,56,0,"3",1600,0.14,0.34
40,56,0,"3",1600,0.14,0.34
36,56,0,"3",1600,0.14,0.34
33,56,1,"3",1600,0.14,0.34
38,56,1,"3",1600,0.14,0.34
42,56,0,"3",1600,0.14,0.34
37,56,1,"3",1600,0.14,0.34
41,56,0,"3",1600,0.14,0.34
33,56,0,"3",1600,0.14,0.34
37,56,0,"3",1600,0.14,0.34
33,56,0,"3",1600,0.14,0.34
35,56,0,"3",1600,0.14,0.34
32,56,0,"3",1600,0.14,0.34
44,56,1,"3",1600,0.14,0.34
36,56,0,"3",1600,0.14,0.34
35,56,1,"3",1600,0.14,0.34
31,56,0,"3",1600,0.14,0.34
37,56,0,"3",1600,0.14,0.34
33,56,1,"3",1600,0.14,0.34
32,56,0,"3",1600,0.14,0.34
36,56,1,"3",1600,0.14,0.34
43,56,1,"3",1600,0.14,0.34
32,56,1,"3",1600,0.14,0.34
40,56,0,"3",1600,0.14,0.34
32,56,0,"3",1600,0.14,0.34
43,56,1,"3",1600,0.14,0.34
31,56,0,"3",1600,0.14,0.34
33,56,0,"3",1600,0.14,0.34
32,56,1,"3",1600,0.14,0.34
45,56,0,"3",1600,0.14,0.34
36,56,0,"3",1600,0.14,0.34
37,56,0,"3",1600,0.14,0.34
36,56,1,"3",1600,0.14,0.34
34,56,0,"3",1600,0.14,0.34
31,56,0,"3",1600,0.14,0.34
32,56,0,"3",1600,0.14,0.34
39,56,0,"3",1600,0.14,0.34
42,56,0,"3",1600,0.14,0.34
31,56,0,"3",1600,0.14,0.34
36,56,0,"3",1600,0.14,0.34
35,56,1,"3",1600,0.14,0.34
39,56,0,"3",1600,0.14,0.34
35,56,0,"3",1600,0.14,0.34
36,56,1,"3",1600,0.14,0.34
33,56,0,"3",1600,0.14,0.34
39,56,1,"3",1300,0.14,0.34
37,56,1,"3",1300,0.14,0.34
39,56,0,"3",1300,0.14,0.34
42,56,0,"3",1300,0.14,0.34
40,56,0,"3",1300,0.14,0.34
35,56,1,"3",1300,0.14,0.34
30,56,1,"3",1300,0.14,0.34
36,56,1,"3",1300,0.14,0.34
42,56,0,"3",1300,0.14,0.34
36,56,0,"3",1300,0.14,0.34
34,56,0,"3",1300,0.14,0.34
37,56,0,"3",1300,0.14,0.34
41,56,0,"3",1300,0.14,0.34
38,56,1,"3",1300,0.14,0.34
34,56,1,"3",1300,0.14,0.34
35,56,0,"3",1300,0.14,0.34
43,56,0,"3",1300,0.14,0.34
37,56,1,"3",1300,0.14,0.34
34,56,1,"3",1300,0.14,0.34
36,56,0,"3",1300,0.14,0.34
43,56,1,"3",1300,0.14,0.34
30,56,0,"3",1300,0.14,0.34
31,56,1,"3",1300,0.14,0.34
34,56,0,"3",1300,0.14,0.34
37,56,1,"3",1300,0.14,0.34
33,56,1,"3",1300,0.14,0.34
32,56,1,"3",1300,0.14,0.34
30,56,1,"3",1300,0.14,0.34
39,56,1,"3",1300,0.14,0.34
26,56,0,"3",1300,0.14,0.34
37,56,1,"3",1300,0.14,0.34
38,56,1,"3",1300,0.14,0.34
42,56,0,"3",1300,0.14,0.34
40,56,1,"3",1300,0.14,0.34
38,56,1,"3",1300,0.14,0.34
32,56,1,"3",1300,0.14,0.34
40,56,0,"3",1300,0.14,0.34
32,56,1,"3",1300,0.14,0.34
36,56,0,"3",1300,0.14,0.34
31,56,0,"3",1300,0.14,0.34
36,56,0,"3",1300,0.14,0.34
35,56,0,"3",1300,0.14,0.34
30,56,0,"3",1300,0.14,0.34
39,56,1,"3",1300,0.14,0.34
32,56,1,"3",1300,0.14,0.34
28,56,1,"3",1300,0.14,0.34
33,56,0,"3",1300,0.14,0.34
29,56,1,"3",1300,0.14,0.34
37,56,1,"3",1300,0.14,0.34
32,56,0,"3",1300,0.14,0.34
36,56,0,"3",1300,0.14,0.34
34,56,0,"3",1300,0.14,0.34
33,56,1,"3",1300,0.14,0.34
28,56,0,"3",1300,0.14,0.34
32,56,0,"3",1300,0.14,0.34
36,56,0,"3",1300,0.14,0.34
34,56,0,"3",1300,0.14,0.34
32,56,1,"3",1300,0.14,0.34
33,56,1,"3",1300,0.14,0.34
39,56,0,"3",1300,0.14,0.34
37,56,1,"3",1300,0.14,0.34
30,56,1,"3",1300,0.14,0.34
37,56,1,"3",1300,0.14,0.34
35,56,0,"3",1300,0.14,0.34
35,56,0,"3",1300,0.14,0.34
30,56,0,"3",1300,0.14,0.34
36,56,0,"3",1300,0.14,0.34
30,56,0,"3",1300,0.14,0.34
35,56,0,"3",1300,0.14,0.34
29,56,0,"3",1300,0.14,0.34
35,56,1,"3",1300,0.14,0.34
38,56,1,"3",1300,0.14,0.34
36,56,0,"3",1300,0.14,0.34
32,56,0,"3",1300,0.14,0.34
30,56,1,"3",1300,0.14,0.34
29,56,1,"3",1300,0.14,0.34
36,56,1,"3",1300,0.14,0.34
36,56,0,"3",1300,0.14,0.34
28,56,0,"3",1300,0.14,0.34
39,56,0,"3",1300,0.14,0.34
35,56,1,"3",1300,0.14,0.34
27,56,1,"3",1300,0.14,0.34
34,56,1,"3",1300,0.14,0.34
30,56,0,"3",1300,0.14,0.34
37,56,0,"3",1300,0.14,0.34
27,56,1,"3",1300,0.14,0.34
35,56,0,"3",1300,0.14,0.34
31,56,1,"3",1300,0.14,0.34
35,56,1,"3",1300,0.14,0.34
25,56,1,"3",1300,0.14,0.34
32,56,1,"3",1300,0.14,0.34
28,56,0,"3",500,0.17,-0.03
32,56,1,"3",500,0.17,-0.03
28,56,1,"3",500,0.17,-0.03
30,56,1,"3",500,0.17,-0.03
28,56,1,"3",500,0.17,-0.03
35,56,0,"3",500,0.17,-0.03
30,56,0,"3",500,0.17,-0.03
29,56,0,"3",500,0.17,-0.03
33,56,0,"3",500,0.17,-0.03
33,56,1,"3",500,0.17,-0.03
33,56,0,"3",500,0.17,-0.03
35,56,1,"3",500,0.17,-0.03
34,56,1,"3",500,0.17,-0.03
36,56,1,"3",500,0.17,-0.03
30,56,0,"3",500,0.17,-0.03
33,56,0,"3",500,0.17,-0.03
35,56,0,"3",500,0.17,-0.03
34,56,0,"3",500,0.17,-0.03
36,56,0,"3",500,0.17,-0.03
31,56,1,"3",500,0.17,-0.03
29,56,1,"3",500,0.17,-0.03
35,56,0,"3",500,0.17,-0.03
35,56,0,"3",500,0.17,-0.03
29,56,1,"3",500,0.17,-0.03
37,56,0,"3",500,0.17,-0.03
36,56,1,"3",500,0.17,-0.03
28,56,1,"3",500,0.17,-0.03
34,56,1,"3",500,0.17,-0.03
33,56,1,"3",500,0.17,-0.03
34,56,0,"3",500,0.17,-0.03
27,56,1,"3",500,0.17,-0.03
37,56,0,"3",500,0.17,-0.03
37,56,1,"3",500,0.17,-0.03
39,56,0,"3",500,0.17,-0.03
29,56,1,"3",500,0.17,-0.03
37,56,0,"3",500,0.17,-0.03
37,56,0,"3",500,0.17,-0.03
37,56,1,"3",500,0.17,-0.03
37,56,1,"3",500,0.17,-0.03
35,56,1,"3",500,0.17,-0.03
37,56,1,"3",500,0.17,-0.03
33,56,0,"3",500,0.17,-0.03
35,56,1,"3",500,0.17,-0.03
34,56,0,"3",500,0.17,-0.03
37,56,1,"3",500,0.17,-0.03
37,56,1,"3",500,0.17,-0.03
33,56,1,"3",500,0.17,-0.03
38,56,0,"3",500,0.17,-0.03
39,56,0,"3",500,0.17,-0.03
36,56,1,"3",500,0.17,-0.03
31,56,1,"3",500,0.17,-0.03
32,56,1,"3",500,0.17,-0.03
33,56,1,"3",500,0.17,-0.03
37,56,1,"3",500,0.17,-0.03
35,56,1,"3",500,0.17,-0.03
35,56,1,"3",500,0.17,-0.03
36,56,1,"3",500,0.17,-0.03
39,56,0,"3",400,-1.05,0.56
37,56,1,"3",400,-1.05,0.56
35,56,0,"3",400,-1.05,0.56
38,56,0,"3",400,-1.05,0.56
38,56,1,"3",400,-1.05,0.56
32,56,0,"3",400,-1.05,0.56
32,56,1,"3",400,-1.05,0.56
37,56,0,"3",400,-1.05,0.56
37,56,0,"3",400,-1.05,0.56
34,56,0,"3",400,-1.05,0.56
34,56,1,"3",400,-1.05,0.56
33,56,1,"3",400,-1.05,0.56
36,56,0,"3",400,-1.05,0.56
34,56,0,"3",400,-1.05,0.56
34,56,1,"3",400,-1.05,0.56
36,56,0,"3",400,-1.05,0.56
40,56,0,"3",400,-1.05,0.56
31,56,0,"3",400,-1.05,0.56
35,56,1,"3",200,-0.37,0.34
37,56,0,"3",200,-0.37,0.34
38,56,1,"3",200,-0.37,0.34
39,56,0,"3",200,-0.37,0.34
29,56,0,"3",200,-0.37,0.34
38,56,1,"3",600,1.63,-0.6
43,56,0,"3",600,1.63,-0.6
29,56,0,"3",600,1.63,-0.6
41,56,0,"3",600,1.63,-0.6
35,56,1,"3",600,1.63,-0.6
42,56,0,"3",600,1.63,-0.6
34,56,1,"3",600,1.63,-0.6
33,56,0,"3",600,1.63,-0.6
40,56,0,"3",600,1.63,-0.6
38,56,1,"3",600,1.63,-0.6
34,56,0,"3",600,1.63,-0.6
41,56,1,"3",600,1.63,-0.6
38,56,1,"3",600,1.63,-0.6
39,56,1,"3",600,1.63,-0.6
31,56,1,"3",600,1.63,-0.6
37,56,1,"3",600,1.63,-0.6
33,56,0,"3",600,1.63,-0.6
34,56,1,"3",600,1.63,-0.6
32,56,1,"3",900,-0.42,-1.32
38,56,1,"3",900,-0.42,-1.32
32,56,0,"3",900,-0.42,-1.32
38,56,1,"3",900,-0.42,-1.32
31,56,0,"3",900,-0.42,-1.32
33,56,1,"3",900,-0.42,-1.32
31,56,0,"3",900,-0.42,-1.32
38,56,0,"3",900,-0.42,-1.32
34,56,1,"3",900,-0.42,-1.32
39,56,1,"3",900,-0.42,-1.32
36,56,1,"3",900,-0.42,-1.32
34,56,1,"3",900,-0.42,-1.32
29,56,1,"3",900,-0.42,-1.32
36,56,0,"3",900,-0.42,-1.32
36,56,1,"3",900,-0.42,-1.32
29,56,1,"3",900,-0.42,-1.32
22,56,1,"3",900,-0.42,-1.32
33,56,1,"3",900,-0.42,-1.32
37,56,1,"3",900,-0.42,-1.32
36,56,1,"3",900,-0.42,-1.32
33,56,0,"3",900,-0.42,-1.32
36,56,1,"3",900,-0.42,-1.32
29,56,0,"3",900,-0.42,-1.32
38,56,1,"3",900,-0.42,-1.32
31,56,0,"3",900,-0.42,-1.32
34,56,1,"3",900,-0.42,-1.32
36,56,1,"3",900,-0.42,-1.32
38,56,1,"3",900,-0.42,-1.32
30,56,0,"3",900,-0.42,-1.32
33,56,0,"3",900,-0.42,-1.32
34,56,1,"3",900,-0.42,-1.32
38,56,1,"3",900,-0.42,-1.32
30,56,1,"3",900,-0.42,-1.32
34,56,1,"3",900,-0.42,-1.32
34,56,0,"3",900,-0.42,-1.32
31,56,1,"3",900,-0.42,-1.32
28,56,0,"3",900,-0.42,-1.32
34,56,0,"3",900,-0.42,-1.32
37,56,1,"3",900,-0.42,-1.32
32,56,1,"3",900,-0.42,-1.32
28,56,0,"3",900,-0.42,-1.32
34,56,1,"3",900,-0.42,-1.32
33,56,1,"3",900,-0.42,-1.32
35,56,0,"3",900,-0.42,-1.32
36,56,1,"3",900,-0.42,-1.32
32,56,0,"3",900,-0.42,-1.32
29,56,1,"3",900,-0.42,-1.32
30,56,1,"3",900,-0.42,-1.32
35,56,0,"3",900,-0.42,-1.32
32,56,1,"3",900,-0.42,-1.32
29,56,0,"3",900,-0.42,-1.32
32,56,1,"3",900,-0.42,-1.32
30,56,1,"3",900,-0.42,-1.32
34,56,0,"3",900,-0.42,-1.32
35,56,1,"3",900,-0.42,-1.32
36,56,1,"3",900,-0.42,-1.32
25,56,1,"3",900,-0.42,-1.32
36,56,0,"3",900,-0.42,-1.32
33,56,1,"3",900,-0.42,-1.32
39,56,1,"3",900,-0.42,-1.32
34,56,1,"3",900,-0.42,-1.32
31,56,1,"3",900,-0.42,-1.32
35,56,0,"3",900,-0.42,-1.32
35,56,0,"3",900,-0.42,-1.32
36,56,0,"3",900,-0.42,-1.32
34,56,0,"3",900,-0.42,-1.32
35,56,1,"3",900,-0.42,-1.32
41,56,1,"3",900,-0.42,-1.32
27,56,0,"3",900,-0.42,-1.32
39,56,1,"3",900,-0.42,-1.32
33,56,1,"3",900,-0.42,-1.32
39,56,0,"3",900,-0.42,-1.32
32,56,0,"3",900,-0.42,-1.32
35,56,1,"3",900,-0.42,-1.32
36,56,0,"3",900,-0.42,-1.32
40,56,1,"3",900,-0.42,-1.32
34,56,1,"3",900,-0.42,-1.32
36,56,0,"3",900,-0.42,-1.32
32,56,1,"3",900,-0.42,-1.32
36,56,0,"3",900,-0.42,-1.32
31,56,1,"3",900,-0.42,-1.32
33,56,1,"3",900,-0.42,-1.32
34,56,0,"3",900,-0.42,-1.32
36,56,1,"3",900,-0.42,-1.32
34,56,1,"3",900,-0.42,-1.32
35,56,1,"3",900,-0.42,-1.32
39,56,1,"3",900,-0.42,-1.32
38,56,0,"3",900,-0.42,-1.32
30,56,1,"3",900,-0.42,-1.32
35,56,0,"3",900,-0.42,-1.32
33,56,1,"3",900,-0.42,-1.32
36,56,1,"3",900,-0.42,-1.32
34,56,0,"3",900,-0.42,-1.32
36,56,0,"3",900,-0.42,-1.32
35,56,1,"3",900,-0.42,-1.32
33,56,1,"3",900,-0.42,-1.32
31,56,0,"3",1000,-0.65,1.58
36,56,0,"3",1000,-0.65,1.58
38,56,0,"3",1000,-0.65,1.58
39,56,0,"3",1000,-0.65,1.58
30,56,0,"3",1000,-0.65,1.58
39,56,1,"3",1000,-0.65,1.58
39,56,1,"3",1000,-0.65,1.58
39,56,0,"3",1000,-0.65,1.58
29,56,0,"3",1000,-0.65,1.58
33,56,0,"3",1000,-0.65,1.58
30,56,0,"3",1000,-0.65,1.58
37,56,1,"3",1000,-0.65,1.58
33,56,0,"3",1000,-0.65,1.58
36,56,1,"3",1000,-0.65,1.58
38,56,1,"3",1000,-0.65,1.58
39,56,1,"3",1000,-0.65,1.58
36,56,1,"3",1000,-0.65,1.58
39,56,1,"3",1000,-0.65,1.58
34,56,0,"3",1000,-0.65,1.58
34,56,1,"3",1000,-0.65,1.58
31,56,1,"3",1000,-0.65,1.58
36,56,1,"3",1000,-0.65,1.58
29,56,1,"3",1000,-0.65,1.58
42,56,0,"3",1000,-0.65,1.58
35,56,1,"3",1000,-0.65,1.58
31,56,1,"3",1000,-0.65,1.58
34,56,0,"3",1000,-0.65,1.58
44,56,0,"3",1000,-0.65,1.58
30,56,0,"3",1000,-0.65,1.58
35,56,0,"3",1000,-0.65,1.58
33,56,1,"3",1000,-0.65,1.58
35,56,0,"3",1000,-0.65,1.58
40,56,0,"3",1000,-0.65,1.58
31,56,0,"3",1000,-0.65,1.58
38,56,0,"3",1000,-0.65,1.58
37,56,0,"3",1000,-0.65,1.58
33,56,1,"3",1000,-0.65,1.58
41,56,0,"3",1000,-0.65,1.58
35,56,1,"3",1000,-0.65,1.58
40,56,0,"3",1000,-0.65,1.58
37,56,0,"3",1000,-0.65,1.58
33,56,0,"3",1000,-0.65,1.58
36,56,0,"3",1000,-0.65,1.58
41,56,1,"3",1000,-0.65,1.58
38,56,1,"3",1000,-0.65,1.58
37,56,1,"3",1000,-0.65,1.58
36,56,0,"3",1000,-0.65,1.58
45,56,0,"3",1000,-0.65,1.58
34,56,1,"3",1000,-0.65,1.58
39,56,1,"3",1000,-0.65,1.58
32,56,1,"3",1000,-0.65,1.58
42,56,0,"3",1000,-0.65,1.58
31,56,1,"3",1000,-0.65,1.58
40,56,1,"3",1000,-0.65,1.58
35,56,1,"3",1000,-0.65,1.58
43,56,1,"3",1000,-0.65,1.58
35,56,1,"3",1000,-0.65,1.58
35,56,0,"3",1000,-0.65,1.58
38,56,1,"3",1000,-0.65,1.58
38,56,1,"3",1000,-0.65,1.58
35,56,1,"3",1000,-0.65,1.58
31,56,1,"3",1000,-0.65,1.58
34,56,1,"3",1000,-0.65,1.58
37,56,1,"3",1000,-0.65,1.58
26,56,1,"3",1000,-0.65,1.58
37,56,0,"3",1000,-0.65,1.58
28,56,1,"3",1000,-0.65,1.58
34,56,1,"3",1000,-0.65,1.58
29,56,1,"3",1000,-0.65,1.58
37,56,0,"3",1000,-0.65,1.58
32,56,0,"3",1000,-0.65,1.58
31,56,1,"3",1000,-0.65,1.58
30,56,1,"3",1000,-0.65,1.58
34,56,0,"3",1000,-0.65,1.58
32,56,1,"3",1000,-0.65,1.58
36,56,0,"3",1000,-0.65,1.58
34,56,1,"3",1000,-0.65,1.58
34,56,1,"3",1000,-0.65,1.58
33,56,0,"3",1000,-0.65,1.58
36,56,0,"3",1000,-0.65,1.58
30,56,1,"3",1000,-0.65,1.58
39,56,1,"3",1000,-0.65,1.58
31,56,1,"3",1000,-0.65,1.58
37,56,1,"3",1000,-0.65,1.58
31,56,1,"3",1000,-0.65,1.58
40,56,1,"3",1000,-0.65,1.58
31,56,1,"3",1000,-0.65,1.58
37,56,0,"3",1000,-0.65,1.58
32,56,1,"3",1000,-0.65,1.58
34,56,0,"3",1000,-0.65,1.58
32,56,1,"3",1000,-0.65,1.58
40,56,1,"3",1000,-0.65,1.58
31,56,1,"3",1000,-0.65,1.58
33,56,0,"3",1000,-0.65,1.58
31,56,0,"3",1000,-0.65,1.58
33,56,0,"3",1000,-0.65,1.58
32,56,1,"3",1000,-0.65,1.58
37,56,0,"3",1000,-0.65,1.58
36,56,0,"3",1000,-0.65,1.58
31,56,0,"3",1000,-0.65,1.58
33,56,1,"3",1000,-0.65,1.58
33,56,1,"3",1000,-0.65,1.58
30,56,0,"3",1000,-0.65,1.58
38,56,0,"3",1000,-0.65,1.58
31,56,0,"3",1000,-0.65,1.58
35,56,0,"3",1000,-0.65,1.58
33,56,1,"3",1000,-0.65,1.58
35,56,1,"3",1300,-0.16,2.13
31,56,0,"3",1300,-0.16,2.13
34,56,1,"3",1300,-0.16,2.13
32,56,1,"3",1300,-0.16,2.13
33,56,0,"3",1300,-0.16,2.13
35,56,1,"3",1300,-0.16,2.13
32,56,1,"3",1300,-0.16,2.13
39,56,0,"3",1300,-0.16,2.13
39,56,1,"3",1300,-0.16,2.13
30,56,1,"3",1300,-0.16,2.13
41,56,1,"3",1300,-0.16,2.13
31,56,1,"3",1300,-0.16,2.13
34,56,0,"3",1300,-0.16,2.13
35,56,1,"3",1300,-0.16,2.13
38,56,0,"3",1300,-0.16,2.13
29,56,1,"3",1300,-0.16,2.13
34,56,0,"3",1300,-0.16,2.13
27,56,1,"3",1300,-0.16,2.13
37,56,0,"3",1300,-0.16,2.13
33,56,0,"3",1300,-0.16,2.13
35,56,0,"3",1300,-0.16,2.13
33,56,0,"3",1300,-0.16,2.13
32,56,1,"3",1300,-0.16,2.13
34,56,1,"3",1300,-0.16,2.13
37,56,1,"3",1300,-0.16,2.13
31,56,0,"3",1300,-0.16,2.13
34,56,0,"3",1300,-0.16,2.13
33,56,1,"3",1300,-0.16,2.13
36,56,0,"3",1300,-0.16,2.13
36,56,0,"3",1300,-0.16,2.13
