"x","m","female","hisei","age"
19,23,0,65,193
20,23,0,82,191
20,23,1,53,191
12,23,1,53,186
16,23,1,23,184
3,23,0,55,190
13,23,1,53,187
15,23,0,85,192
9,23,0,53,188
3,23,1,30,191
5,23,1,43,183
6,23,1,26,183
10,23,1,69,190
12,23,0,28,184
15,23,1,51,188
20,23,1,53,183
19,23,1,23,188
18,23,1,51,186
10,23,1,45,187
13,23,1,43,189
13,23,1,51,191
1,23,1,43,189
5,23,0,32,193
20,23,0,43,186
8,23,1,29,190
12,23,1,43,193
8,23,1,43,185
15,23,0,43,999
15,23,1,16,192
10,23,1,55,192
3,23,0,52,192
6,23,0,38,184
10,23,0,26,184
13,23,1,53,192
7,23,0,38,999
16,23,1,45,191
18,23,0,67,194
18,23,1,69,193
16,23,1,51,185
15,23,1,60,186
21,23,1,69,192
16,23,1,53,184
18,23,1,59,184
21,23,1,55,188
20,23,1,69,193
18,23,1,67,193
21,23,1,69,191
19,23,1,69,185
18,23,0,55,190
18,23,1,43,187
21,23,1,70,190
18,23,0,69,192
4,23,1,25,191
16,23,1,50,187
14,23,1,39,193
10,23,1,34,190
10,23,0,69,193
17,23,0,30,192
17,23,0,29,193
1,23,0,24,191
2,23,0,39,184
4,23,0,43,185
8,23,1,69,186
17,23,0,55,191
18,23,1,88,194
20,23,1,38,188
15,23,0,88,190
14,23,1,51,193
14,23,0,33,188
19,23,0,56,183
13,23,0,41,999
18,23,1,56,183
17,23,1,50,187
15,23,0,69,185
17,23,1,43,189
17,23,1,69,193
14,23,0,51,185
4,23,0,30,186
7,23,0,43,188
8,23,0,54,999
0,23,0,30,193
11,23,0,28,190
1,23,0,34,190
11,23,1,53,190
19,23,1,88,185
19,23,1,56,193
20,23,1,34,184
18,23,1,53,193
18,23,0,56,183
13,23,0,38,189
6,23,0,69,192
13,23,0,34,187
15,23,1,53,183
6,23,1,40,187
20,23,0,55,187
19,23,1,34,189
19,23,1,43,190
18,23,1,73,190
10,23,0,34,189
10,23,1,34,189
7,23,1,22,189
14,23,0,71,192
8,23,0,71,193
9,23,1,69,193
10,23,0,43,189
3,23,0,43,193
10,23,0,53,194
13,23,0,43,193
6,23,1,44,190
9,23,0,43,188
4,23,0,53,189
19,23,0,34,186
16,23,0,29,186
12,23,1,59,191
11,23,1,52,185
8,23,1,59,188
6,23,1,53,184
18,23,1,59,187
11,23,0,31,184
7,23,0,34,189
5,23,0,99,185
4,23,1,74,190
3,23,1,30,183
10,23,1,43,185
10,23,0,56,188
7,23,0,38,190
12,23,0,51,190
8,23,1,34,189
10,23,0,51,188
4,23,1,40,184
4,23,1,16,183
3,23,0,53,187
4,23,0,43,187
2,23,0,43,191
2,23,0,52,184
21,23,0,71,190
23,23,0,53,193
20,23,1,30,194
22,23,1,69,192
17,23,0,43,187
19,23,0,69,183
5,23,1,56,185
12,23,1,30,185
10,23,1,65,190
9,23,1,24,193
9,23,1,40,184
7,23,0,38,185
16,23,1,33,193
18,23,1,30,186
8,23,0,51,184
12,23,0,40,190
16,23,1,38,185
18,23,1,30,190
13,23,1,24,193
13,23,1,51,185
16,23,0,69,190
15,23,0,51,184
15,23,1,69,183
19,23,1,54,192
12,23,0,70,183
13,23,0,88,187
21,23,1,85,191
20,23,0,67,185
16,23,1,53,194
19,23,0,46,184
18,23,1,85,184
14,23,0,69,189
18,23,1,54,189
17,23,0,53,191
20,23,0,69,193
15,23,0,88,189
9,23,0,29,194
17,23,1,51,191
11,23,0,51,190
8,23,1,51,190
5,23,0,38,187
13,23,0,16,193
11,23,1,52,184
14,23,1,30,184
7,23,1,56,184
10,23,0,34,185
15,23,1,69,189
14,23,1,43,194
19,23,1,38,188
13,23,1,53,193
18,23,1,23,186
8,23,0,99,190
14,23,1,71,193
10,23,0,30,184
2,23,0,69,193
5,23,1,43,191
7,23,0,30,193
9,23,0,59,190
12,23,0,51,193
4,23,0,34,188
20,23,1,60,187
16,23,0,85,194
20,23,0,69,192
18,23,1,53,190
17,23,1,54,188
19,23,0,34,189
2,23,0,34,188
18,23,1,73,194
9,23,0,99,189
11,23,0,64,187
3,23,0,38,187
4,23,0,69,190
1,23,0,54,184
9,23,1,43,193
19,23,1,51,185
9,23,0,38,193
7,23,1,32,190
7,23,1,35,193
3,23,0,99,190
5,23,1,34,186
14,23,0,73,186
18,23,0,43,187
7,23,0,30,183
11,23,1,69,184
17,23,0,30,185
15,23,0,53,191
14,23,0,43,183
9,23,1,65,185
10,23,0,43,188
18,23,0,88,183
14,23,0,61,188
19,23,1,67,185
17,23,1,65,184
10,23,1,69,183
17,23,1,51,190
6,23,1,46,185
6,23,0,32,183
14,23,0,71,185
18,23,1,50,189
7,23,0,99,189
22,23,0,67,183
15,23,0,43,186
6,23,0,46,193
15,23,0,23,191
13,23,1,56,193
7,23,0,34,193
13,23,0,33,190
2,23,0,45,194
3,23,0,51,194
16,23,1,49,190
14,23,0,50,192
6,23,0,71,192
22,23,1,52,186
14,23,1,34,189
19,23,0,69,191
9,23,0,39,192
9,23,0,43,184
5,23,0,38,190
15,23,0,67,194
6,23,0,43,185
19,23,1,53,191
15,23,0,43,193
20,23,0,54,191
20,23,1,56,188
15,23,0,23,188
20,23,0,69,190
3,23,0,50,188
9,23,1,40,194
12,23,1,29,185
14,23,1,53,190
13,23,1,69,189
7,23,1,64,188
8,23,0,43,189
2,23,1,16,191
10,23,1,33,186
10,23,0,40,186
6,23,1,38,183
7,23,0,43,187
16,23,0,48,188
8,23,1,45,191
6,23,0,30,189
15,23,1,67,194
14,23,1,45,186
12,23,0,29,194
16,23,0,43,184
14,23,1,50,190
10,23,0,99,191
11,23,1,69,186
11,23,1,30,188
19,23,1,54,193
9,23,1,54,188
14,23,0,56,192
21,23,1,51,194
16,23,1,50,183
21,23,1,69,194
15,23,1,99,186
20,23,1,53,184
21,23,1,43,189
16,23,1,53,185
20,23,1,85,183
7,23,1,85,187
12,23,0,51,186
13,23,1,87,193
11,23,1,69,191
12,23,0,74,999
9,23,1,43,194
14,23,1,30,193
16,23,1,34,194
15,23,1,29,193
3,23,0,45,183
7,23,0,27,187
18,23,1,69,184
18,23,0,43,184
14,23,0,51,188
19,23,0,46,188
9,23,0,55,188
21,23,1,85,191
14,23,0,83,194
18,23,1,60,193
19,23,0,23,192
9,23,0,23,193
11,23,1,38,191
11,23,0,69,187
20,23,1,39,184
17,23,1,51,191
21,23,0,58,187
17,23,1,53,191
20,23,0,69,193
19,23,0,88,999
14,23,0,51,184
9,23,1,56,184
1,23,0,37,189
10,23,0,43,193
9,23,0,67,183
17,23,0,50,194
4,23,0,39,191
10,23,0,56,192
6,23,1,45,186
15,23,1,40,188
13,23,0,39,183
14,23,1,45,189
17,23,0,53,194
9,23,0,29,183
12,23,1,53,186
13,23,1,43,193
5,23,1,99,186
16,23,1,51,187
13,23,1,34,187
11,23,0,56,185
7,23,0,32,188
9,23,0,43,186
9,23,1,43,184
13,23,1,40,184
19,23,1,53,186
14,23,1,68,194
19,23,0,23,183
5,23,0,43,193
4,23,0,45,186
9,23,1,51,186
5,23,0,30,185
9,23,1,38,188
9,23,0,30,183
16,23,1,68,189
5,23,1,43,194
13,23,0,49,194
10,23,0,30,187
14,23,0,43,187
10,23,0,73,184
10,23,0,43,192
10,23,0,60,190
7,23,0,51,187
11,23,1,50,194
14,23,0,37,190
5,23,1,23,187
6,23,1,69,190
9,23,1,99,193
8,23,0,51,194
15,23,0,51,188
12,23,0,67,187
17,23,1,56,192
17,23,0,30,183
21,23,0,43,191
12,23,1,34,183
14,23,1,56,188
6,23,0,99,183
7,23,1,34,188
18,23,1,38,190
12,23,0,52,188
15,23,0,51,189
9,23,1,53,190
14,23,1,55,187
16,23,1,51,186
19,23,0,25,190
14,23,0,38,186
5,23,0,30,186
21,23,1,53,193
18,23,1,50,191
18,23,1,33,190
21,23,1,70,189
14,23,0,87,194
17,23,0,59,191
12,23,0,88,188
11,23,0,73,189
22,23,0,38,193
15,23,0,68,190
19,23,1,43,190
17,23,0,69,188
20,23,1,67,187
11,23,0,68,189
19,23,0,83,189
21,23,1,83,183
17,23,0,88,193
23,23,0,69,185
5,23,1,38,186
8,23,0,30,187
6,23,1,30,191
4,23,0,99,187
7,23,1,99,188
4,23,1,43,186
14,23,0,40,185
9,23,1,32,190
5,23,1,38,191
3,23,0,34,190
12,23,0,21,193
17,23,0,51,191
16,23,1,50,192
12,23,0,60,183
16,23,1,51,186
13,23,0,43,193
12,23,0,43,192
20,23,0,67,191
21,23,0,67,188
19,23,1,68,193
16,23,1,61,187
15,23,0,54,187
12,23,1,29,186
11,23,0,43,186
5,23,0,65,186
4,23,1,99,189
15,23,0,32,190
7,23,1,34,193
17,23,0,29,191
6,23,1,53,194
6,23,1,30,189
8,23,0,40,192
3,23,0,69,192
13,23,0,53,185
6,23,0,38,183
22,23,1,51,191
17,23,1,69,190
15,23,0,34,189
11,23,0,70,187
10,23,0,29,194
6,23,1,53,183
6,23,0,38,190
17,23,1,51,191
14,23,1,28,192
18,23,1,51,183
16,23,1,51,190
19,23,1,69,187
21,23,1,53,184
13,23,1,38,192
12,23,1,34,188
18,23,0,50,193
13,23,1,69,187
18,23,1,67,190
9,23,1,30,190
10,23,0,52,194
16,23,1,40,194
5,23,0,23,193
16,23,0,46,192
20,23,0,51,188
17,23,1,55,193
10,23,1,50,188
21,23,0,56,183
16,23,1,67,189
12,23,1,87,189
20,23,1,30,194
20,23,1,69,190
17,23,1,59,187
20,23,1,69,188
13,23,0,61,187
14,23,1,25,190
14,23,1,51,194
8,23,1,70,194
5,23,0,69,183
18,23,1,40,189
12,23,1,43,188
11,23,0,53,183
14,23,0,38,192
11,23,1,43,192
18,23,1,69,192
22,23,1,53,193
14,23,0,88,184
19,23,1,69,187
22,23,1,53,194
21,23,1,67,185
5,23,1,43,189
6,23,1,23,188
10,23,0,73,184
8,23,1,30,190
14,23,1,68,187
15,23,0,34,190
8,23,1,34,194
8,23,0,43,191
16,23,0,55,189
9,23,1,30,188
11,23,1,51,194
4,23,1,38,183
14,23,0,69,192
6,23,1,38,189
2,23,1,30,187
5,23,0,39,183
8,23,1,30,189
10,23,1,43,185
6,23,0,43,183
2,23,0,43,193
6,23,0,56,188
1,23,0,43,183
5,23,0,50,192
6,23,1,74,187
1,23,0,23,189
7,23,1,99,187
5,23,1,52,188
5,23,1,30,194
15,23,1,25,185
14,23,0,43,190
6,23,1,29,190
13,23,0,55,188
9,23,0,27,184
21,23,0,43,193
18,23,0,51,187
12,23,0,51,186
17,23,1,69,188
20,23,0,71,192
11,23,0,88,193
20,23,1,43,191
18,23,0,51,183
15,23,0,56,188
20,23,1,69,187
14,23,0,69,188
17,23,1,88,186
12,23,0,73,191
14,23,1,51,190
20,23,0,49,187
10,23,0,34,185
9,23,1,38,185
7,23,0,28,183
8,23,1,73,186
3,23,0,23,999
13,23,0,59,183
10,23,0,34,999
4,23,0,29,192
5,23,1,56,186
11,23,1,30,190
9,23,0,43,185
11,23,0,19,185
7,23,0,33,185
13,23,1,38,194
14,23,1,69,192
9,23,1,30,188
20,23,1,40,194
22,23,1,56,185
18,23,1,52,185
12,23,0,55,189
18,23,0,67,194
11,23,0,52,190
7,23,0,30,185
6,23,1,30,184
12,23,1,99,187
7,23,0,29,186
5,23,0,43,190
16,23,1,68,184
9,23,0,51,183
17,23,1,53,186
19,23,0,54,188
19,23,1,53,189
3,23,0,30,188
13,23,0,28,191
14,23,0,29,183
6,23,1,43,192
11,23,1,34,187
6,23,0,43,193
4,23,1,34,183
15,23,1,74,187
4,23,0,34,193
8,23,0,54,185
10,23,1,34,193
14,23,1,34,187
16,23,1,56,193
14,23,1,66,188
6,23,1,88,187
12,23,0,88,189
19,23,1,46,193
13,23,1,57,185
5,23,1,51,187
12,23,1,54,194
16,23,1,68,184
21,23,1,23,186
19,23,1,43,193
10,23,0,45,194
14,23,1,33,187
14,23,1,49,185
14,23,0,67,191
14,23,0,44,183
11,23,0,69,185
7,23,1,34,184
14,23,0,34,192
7,23,1,73,187
18,23,1,51,183
11,23,0,34,190
13,23,1,34,188
12,23,1,56,193
15,23,1,45,186
15,23,0,52,183
16,23,1,51,187
15,23,1,69,188
17,23,0,51,186
17,23,1,30,189
12,23,1,23,188
20,23,1,43,186
17,23,1,38,193
22,23,0,39,187
17,23,0,65,185
21,23,0,56,186
20,23,0,67,193
21,23,1,43,186
17,23,0,56,189
20,23,1,37,186
21,23,1,69,186
17,23,0,61,185
22,23,0,51,191
19,23,1,56,189
21,23,0,29,189
16,23,1,51,186
15,23,0,61,188
23,23,1,59,190
13,23,0,59,190
18,23,1,46,183
20,23,1,67,187
16,23,1,43,192
22,23,1,88,188
15,23,1,29,183
7,23,1,69,194
11,23,0,69,194
9,23,0,69,189
12,23,1,45,188
16,23,0,43,188
16,23,0,38,188
12,23,1,34,193
4,23,0,29,183
6,23,1,30,184
6,23,0,25,188
9,23,1,30,190
18,23,1,51,185
9,23,0,53,193
5,23,1,45,192
0,23,1,31,185
8,23,1,45,192
6,23,0,43,190
8,23,1,16,187
11,23,0,60,191
13,23,0,69,184
16,23,1,59,188
3,23,0,50,188
13,23,0,38,185
4,23,1,27,193
8,23,1,30,184
6,23,0,99,193
9,23,0,34,193
3,23,0,45,189
16,23,1,43,185
13,23,1,55,188
6,23,0,54,187
0,23,0,43,189
4,23,1,97,190
1,23,0,38,190
1,23,0,97,185
4,23,0,43,187
4,23,1,23,194
4,23,1,45,190
11,23,0,43,188
1,23,0,99,188
7,23,0,31,189
8,23,1,26,187
7,23,0,54,189
7,23,1,78,188
6,23,0,25,183
17,23,1,54,189
19,23,1,56,188
12,23,0,43,185
16,23,1,32,188
8,23,1,69,189
20,23,1,54,192
14,23,1,56,187
19,23,1,69,184
18,23,0,74,190
15,23,1,43,184
14,23,1,59,190
11,23,1,59,189
17,23,0,16,184
15,23,1,20,186
6,23,0,53,189
20,23,1,38,187
0,23,0,99,193
14,23,0,99,190
11,23,0,73,185
14,23,1,50,192
7,23,0,50,184
12,23,1,54,185
6,23,1,74,184
7,23,0,24,192
1,23,1,43,187
8,23,1,30,188
10,23,0,56,184
10,23,0,56,190
5,23,0,99,190
7,23,1,69,189
14,23,1,57,183
7,23,0,51,184
17,23,1,38,188
13,23,1,51,185
16,23,1,49,190
17,23,0,71,186
10,23,0,88,184
12,23,1,60,184
11,23,0,56,192
15,23,1,69,190
5,23,0,24,191
3,23,0,38,183
3,23,0,34,183
15,23,1,41,184
7,23,0,23,191
7,23,1,34,189
8,23,1,38,194
13,23,1,45,192
6,23,1,23,184
4,23,0,38,190
16,23,1,69,188
15,23,0,32,190
10,23,1,43,186
4,23,0,43,185
18,23,1,39,190
11,23,1,29,190
13,23,1,31,194
11,23,1,30,192
7,23,0,33,188
10,23,1,26,183
9,23,1,40,191
10,23,1,51,193
17,23,1,54,190
14,23,1,30,193
3,23,1,30,193
6,23,1,34,188
10,23,0,50,188
22,23,0,83,192
7,23,0,43,189
15,23,1,69,183
8,23,1,53,185
8,23,0,40,187
6,23,0,38,183
16,23,0,68,187
19,23,1,71,184
19,23,0,69,192
21,23,1,51,186
16,23,0,69,188
19,23,0,69,194
14,23,1,54,184
5,23,0,38,187
7,23,1,69,190
6,23,1,99,184
10,23,1,34,186
14,23,0,29,186
20,23,1,69,185
16,23,0,33,192
11,23,0,65,185
20,23,0,67,184
10,23,0,31,192
8,23,1,34,186
12,23,0,68,183
3,23,1,43,192
19,23,1,38,191
16,23,0,40,191
16,23,0,69,190
16,23,1,67,194
15,23,0,54,185
6,23,0,43,190
15,23,0,87,999
5,23,1,67,185
12,23,1,37,191
4,23,0,30,193
4,23,1,51,188
8,23,0,30,183
8,23,0,77,191
6,23,1,34,190
9,23,0,51,193
11,23,0,68,191
14,23,0,87,194
10,23,0,52,187
15,23,0,53,191
13,23,0,24,185
14,23,1,69,187
0,23,0,97,997
16,23,1,51,189
18,23,0,99,187
18,23,0,87,193
17,23,1,54,183
9,23,1,99,189
12,23,1,69,189
17,23,0,77,188
14,23,0,34,188
3,23,1,34,186
2,23,1,36,188
8,23,1,34,189
6,23,1,43,191
11,23,1,43,186
6,23,1,43,187
9,23,0,67,193
14,23,0,69,186
21,23,1,51,192
18,23,1,78,191
19,23,1,23,194
18,23,1,88,189
14,23,0,85,189
18,23,0,54,184
16,23,1,50,193
9,23,0,51,184
11,23,0,45,185
13,23,0,43,183
19,23,0,65,191
6,23,0,54,189
15,23,1,55,191
13,23,0,87,183
10,23,1,53,185
12,23,0,51,193
12,23,0,99,189
18,23,1,51,185
16,23,1,38,191
11,23,1,43,190
11,23,1,59,193
10,23,1,25,183
11,23,0,60,189
5,23,1,34,194
7,23,0,43,187
7,23,0,34,190
21,23,1,55,189
16,23,1,87,183
11,23,0,30,191
14,23,0,52,192
19,23,1,88,189
4,23,0,87,185
5,23,1,69,186
9,23,0,30,187
16,23,0,43,999
16,23,1,52,187
13,23,0,71,194
13,23,0,59,188
18,23,0,69,193
20,23,0,69,191
17,23,1,65,191
4,23,0,43,189
3,23,1,34,190
10,23,0,51,191
3,23,0,34,190
2,23,0,51,187
4,23,1,38,184
19,23,1,53,189
10,23,1,52,185
11,23,1,69,188
13,23,1,51,187
9,23,0,69,189
7,23,0,40,190
15,23,1,53,184
14,23,0,71,190
10,23,0,25,191
7,23,1,85,191
17,23,1,38,190
11,23,0,38,189
16,23,0,50,185
14,23,0,51,183
16,23,0,46,185
17,23,1,51,187
15,23,1,69,192
21,23,1,44,190
20,23,1,50,186
18,23,0,73,184
15,23,0,99,184
17,23,1,46,185
16,23,0,50,192
19,23,0,90,190
20,23,1,51,185
9,23,0,74,188
12,23,0,51,184
15,23,0,88,192
10,23,0,30,185
9,23,0,51,188
19,23,1,85,193
21,23,1,56,183
16,23,0,65,193
20,23,0,65,189
20,23,1,37,189
16,23,0,52,187
20,23,1,85,193
13,23,1,38,187
20,23,0,71,192
23,23,1,51,187
22,23,1,49,194
21,23,1,88,191
21,23,1,55,183
19,23,0,38,191
14,23,1,51,193
13,23,0,43,187
17,23,0,23,189
17,23,0,46,184
20,23,0,88,191
12,23,1,40,187
17,23,1,56,191
4,23,1,30,194
2,23,1,88,192
0,23,1,30,193
16,23,1,71,192
22,23,1,43,191
14,23,1,51,184
20,23,0,51,186
9,23,0,43,186
9,23,1,54,184
15,23,1,55,184
23,23,1,51,193
19,23,1,34,188
19,23,1,56,193
17,23,1,45,184
22,23,1,54,187
18,23,1,51,183
11,23,0,34,187
19,23,1,49,184
20,23,0,51,184
16,23,0,60,190
17,23,0,55,194
15,23,1,19,191
8,23,1,16,191
9,23,0,88,185
10,23,1,20,185
13,23,1,29,183
5,23,0,55,194
19,23,1,43,189
17,23,1,34,183
18,23,0,51,191
14,23,1,69,188
19,23,1,54,186
17,23,1,38,189
11,23,0,69,185
